surname,forename,country,number,category,gender,half,finish
Haynes,Stuart,GBR,56890,45-49,M,01:12:40,02:26:26
Rideout,Ken,USA,56919,50-54,M,01:12:59,02:29:54
Hernandez,Tricia,USA,56923,40-44,F,01:33:18,03:08:26
Van ongeval,Tom,BEL,57006,45-49,M,01:13:23,02:28:37
Blackmore,Allison,CAN,57018,55-59,F,01:26:16,02:58:22
Mori-stoodley,Josephine,CAN,57063,55-59,F,01:31:18,03:06:11
Harwardt,Valentin,GER,57137,40-44,M,01:08:54,02:27:50
Walsh,Mary,IRL,57162,45-49,F,01:28:19,03:02:59
Nakamura,Mika,JPN,57191,50-54,F,01:29:54,03:07:47
Saito,Hitoshi,GBR,57195,45-49,M,01:16:26,02:34:22
Valtere,Anda,LAT,57202,40-44,F,01:34:57,03:05:18
Kurtinaitiene,Jolita,LTU,57204,45-49,F,01:31:28,03:08:08
Yamin morales,Mar�a regina henriette,MEX,57208,55-59,F,01:26:49,02:57:56
Kierczynska,Wioletta,POL,57243,40-44,F,01:29:33,03:00:56
Mukhamedzarifova,Zhanna,RUS,57251,45-49,F,01:29:22,03:04:57
Kamyshnya,Elena,RUS,57258,40-44,F,01:28:45,03:00:43
Mukhamedzarifov,Farid,RUS,57262,45-49,M,01:12:31,02:26:27
Hu,Xiuying,SIN,57264,40-44,F,01:31:07,03:02:13
Alonso villa,Pablo,ESP,57272,45-49,M,01:14:06,02:30:55
�sterlund,Anders,SWE,57278,45-49,M,01:12:51,02:30:04
Dasler,Marie,SWE,57282,50-54,F,01:27:14,02:58:04
Black,Sara,GBR,57297,45-49,F,01:33:45,03:05:56
Theisen,Anne,USA,57354,45-49,F,01:26:51,02:59:11
Valencia,Dolores,USA,57377,55-59,F,01:31:07,03:05:44
Steis,Tatyana,USA,57389,45-49,F,01:29:31,03:01:15
De simone,Flavio,USA,57448,50-54,M,01:16:46,02:35:54
Pena,Carolina,CHI,57481,45-49,F,01:24:38,02:52:55
Kliot,Gabriel,ISR,57508,40-44,M,01:14:45,02:32:48
Moll,Angela,USA,57510,40-44,F,01:22:37,02:49:29
Westinghouse,Tasha,USA,57532,45-49,F,01:27:38,03:01:24
Dottin,Erica,GBR,57560,45-49,F,01:28:38,03:07:42
Zicko,Tatyana,USA,57597,45-49,F,01:31:47,03:05:58
Penny,Blaine,CAN,57611,45-49,M,01:15:23,02:34:52
Klein,Iris,GBR,57613,45-49,F,01:28:20,02:59:36
