route_id,Route,Service,ferry_type,Seasonal,Operator,service_id,service_code,depart_code,arrive_code,service_type,operator_code,operator_url,subsidy_type,subsidy_provider,distance_miles,duration_est
F07103,Fetlar (Hamars Ness) - Yell (Gutcher),Yell - Unst - Fetlar,Vehicle,Year Round,Shetland Council,SF2-ODD-GUT,SF2,ODD,GUT,Lifeline,SHT,http://www.shetland.gov.uk/ferries/default.asp,Local Authority,Shetland Islands Council,3.99,0.42
F07201,Campbeltown - Arran (Brodick),Campbeltown - Arran - Ardrossan,Vehicle,Summer,CalMac Ferries,CM5A-CPB-BRB,CM5A,CPB,BRB,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,37.37,2.33
F07202,Campbeltown - Ardrossan,Campbeltown - Arran - Ardrossan,Vehicle,Summer,CalMac Ferries,CM5A-CPB-ARD,CM5A,CPB,ARD,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,41.39,2.67
F07301,Balmaha - Luss Pier,Balmaha - Luss,Passenger,Summer,Sweeney's Cruises,LL3-BMH-LUS,LL3,BMH,LUS,Commercial,SWC,https://www.sweeneyscruiseco.com/cruises/luss-balmaha/,Private,,3.92,0.5
F07303,Balloch Village - Luss Pier,Balloch - Luss,Passenger,Summer,Sweeney's Cruises,LL4-BLV-LUS,LL4,BLV,LUS,Commercial,SWC,https://www.sweeneyscruiseco.com/cruises/balloch-luss/,Private,,7.81,1
F07401,Tarbet (Loch Lomond) - Inversnaid,Tarbet - Inveruglas - Inversnaid,Passenger,Summer,Cruise Loch Lomond,LL2-TAR-IVS,LL2,TAR,IVS,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,3.45,0.5
F07402,Tarbet (Loch Lomond) - Rowardennan,Luss - Rowardennan - Tarbet,Passenger,Summer,Cruise Loch Lomond,LL1-TAR-ROW,LL1,TAR,ROW,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,4.73,0.75
F07403,Rowardennan - Luss Pier,Luss - Rowardennan - Tarbet,Passenger,Summer,Cruise Loch Lomond,LL1-ROW-LUS,LL1,ROW,LUS,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,3.71,0.75
F07404,Tarbet (Loch Lomond) - Inveruglas,Tarbet - Inveruglas - Inversnaid,Passenger,Summer,Cruise Loch Lomond,LL2-TAR-IVU,LL2,TAR,IVU,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,4.07,0.5
F07405,Inveruglas - Inversnaid,Tarbet - Inveruglas - Inversnaid,Passenger,Summer,Cruise Loch Lomond,LL2-IVU-IVS,LL2,IVU,IVS,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,1.24,0.5
F07602,Kinross (The Boat House Pier) - Loch Leven Castle,Kinross - Loch Leven Castle,Passenger,Summer,Historic Scotland,LL-KRS-LCS,LL,KRS,LCS,Commercial,HIS,https://www.historicenvironment.scot/visit-a-place/places/lochleven-castle/getting-there/,Private,,1.02,0.08
F07701,Mallaig - South Uist (Lochboisdale),Mallaig - South Uist,Vehicle,Year Round,CalMac Ferries,CM20-MLG-LBS,CM20,MLG,LBS,Lifeline,CAL,https://www.calmac.co.uk/,Scottish Government,Scottish Government,57.84,3.38
F08301,Barra (Castle Slip) - Kisimul Castle,Barra - Kisimul,Passenger,Summer,Historic Scotland,KSM-CSL-KSM,KSM,CSL,KSM,Commercial,HIS,https://www.historicenvironment.scot/visit-a-place/places/kisimul-castle/getting-there/,Private,,0.14,0.08
F08401,Stronachlachar (Loch Katrine) - Trossachs (Loch Katrine),Stronachlachar - Trossachs,Passenger,Summer,Steam Ship Sir Walter Scott,LK-STL-TRO,LK,STL,TRO,Commercial,SWS,http://www.lochkatrine.com/loch-cruises/stronachlachar-sailing/,Private,,6.56,0.92
F08501,Ardlui - Ardleish,Ardlui - Ardleish,Passenger,Summer,Ardlui Hotel,LL6-ALU-ADL,LL6,ALU,ADL,Commercial,ARD,http://www.ardlui.com/hotel/ferry.aspx,Private,,0.63,0.17
F08601,Dunoon - Blairmore,Dunoon - Blairmore,Passenger,Summer,Paddle Steamer Waverley,WAV-DNU-BLM,WAV,DNU,BLM,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,4.11,0.33
F08602,Dunoon - Kilcreggan,Dunoon - Kilcreggan,Passenger,Summer,Paddle Steamer Waverley,WAV-DNU-KGN,WAV,DNU,KGN,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,4.98,0.42
F08603,Dunoon - Helensburgh,Dunoon - Helensburgh,Passenger,Summer,Paddle Steamer Waverley,WAV-DNU-HEL,WAV,DNU,HEL,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,8.48,
F08604,Dunoon - Bute (Rothesay),Dunoon - Bute,Passenger,Summer,Paddle Steamer Waverley,WAV-DNU-RAY,WAV,DNU,RAY,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,10.32,0.92
F08605,Dunoon - Largs,Dunoon - Largs,Passenger,Summer,Paddle Steamer Waverley,WAV-DNU-LGS,WAV,DNU,LGS,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,11.37,1
F08606,Greenock (Customs House Quay) - Helensburgh,Greenock - Helensburgh,Passenger,Summer,Paddle Steamer Waverley,WAV-GCH-HEL,WAV,GCH,HEL,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,3.88,0.42
F08608,Helensburgh - Glasgow Science Centre North Quay,Helensburgh - Glasgow Science Centre North Quay,Passenger,Summer,Paddle Steamer Waverley,WAV-HEL-GNQ,WAV,HEL,GNQ,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,22.09,
F08610,Helensburgh - Largs,Helensburgh - Largs,Passenger,Summer,Paddle Steamer Waverley,WAV-HEL-LGS,WAV,HEL,LGS,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,18.63,
F08611,Largs - Great Cumbrae (Millport),Largs - Great Cumbrae,Passenger,Summer,Paddle Steamer Waverley,WAV-LGS-MPT,WAV,LGS,MPT,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,3.86,
F08612,Bute (Rothesay) - Largs,Bute - Largs,Passenger,Summer,Paddle Steamer Waverley,WAV-RAY-LGS,WAV,RAY,LGS,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,8.38,0.63
F08613,Bute (Rothesay) - Great Cumbrae (Millport),Bute - Great Cumbrae,Passenger,Summer,Paddle Steamer Waverley,WAV-RAY-MPT,WAV,RAY,MPT,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,11.63,0
F08614,Bute (Rothesay) - Tighnabruaich,Bute - Tighnabruaich,Passenger,Summer,Paddle Steamer Waverley,WAV-RAY-TIG,WAV,RAY,TIG,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,11.27,0.83
F08615,Tarbert - Tighnabruaich,Tarbert - Tighnabruaich,Passenger,Summer,Paddle Steamer Waverley,WAV-LCT-TIG,WAV,LCT,TIG,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,16.95,1.08
F08616,Largs - Arran (Brodick),Largs - Arran,Passenger,Summer,Paddle Steamer Waverley,WAV-LGS-BRB,WAV,LGS,BRB,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,19.05,
F08617,Ayr (Compass Pier) - Great Cumbrae (Millport),Ayr - Great Cumbrae,Passenger,Summer,Paddle Steamer Waverley,WAV-AYR-MPT,WAV,AYR,MPT,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,23.94,
F08618,Arran (Brodick) - Ayr (Compass Pier),Arran - Ayr,Passenger,Summer,Paddle Steamer Waverley,WAV-BRB-AYR,WAV,BRB,AYR,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,21.6,
F08619,Great Cumbrae (Millport) - Arran (Brodick),Great Cumbrae - Arran,Passenger,Summer,Paddle Steamer Waverley,WAV-MPT-BRB,WAV,MPT,BRB,Commercial,WVY,http://www.waverleyexcursions.co.uk/plan-your-trip/scotland/timetable/,Private,,15.55,
F08701,Luss Pier - Inchcailloch (Port Bawn),Luss - Inchcailloch,Passenger,Summer,Cruise Loch Lomond,LL5-LUS-IPB,LL5,LUS,IPB,Commercial,CLL,http://www.cruiselochlomond.co.uk/waterbus-ferries,Private,,3.84,0.75
